pair,corpus,scene,pair_kind,layout,season,height_m,tilt_deg,yaw_deg,scale_ratio,b_px,area_frac,covis_frac,compensation_src,вердикт,bytes,dup_group,dup_size,dup_kind
base_pair_5b919b3ef93f_00009_inside.npz,base,5b919b3ec4be300007b23c67,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,0.9962,cell_refine,разметка подтверждена,1940888,g0054,1,
base_pair_5b919b3ef93f_00010_inside.npz,base,5b919b3ec4be300007b23c67,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9998,global,разметка подтверждена,2542147,g0054,1,
base_pair_5b919b3ef93f_00011_inside.npz,base,5b919b3ec4be300007b23c67,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,0.9994,global,разметка подтверждена,2570993,g0054,1,
base_pair_615773feda14_00000_inside.npz,base,615773fedef645000782b7d5,orto_basemap,inside,,193.0,4.23,341.51,0.83,1227,1.0,0.9997,field,разметка подтверждена,1907121,g0309,1,
base_pair_615773feda14_00001_partial.npz,base,615773fedef645000782b7d5,orto_basemap,partial,,231.7,2.03,48.26,0.996,768,0.6842,0.6946,field,разметка подтверждена,1492244,g0309,1,
base_pair_615773feda14_00002_partial.npz,base,615773fedef645000782b7d5,orto_basemap,partial,,209.6,5.16,57.83,0.901,951,0.8493,0.8418,field,разметка подтверждена,2136452,g0309,1,
base_pair_615773feda14_00003_inside.npz,base,615773fedef645000782b7d5,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,0.9986,field,разметка подтверждена,2182136,g0309,1,
base_pair_615773feda14_00004_partial.npz,base,615773fedef645000782b7d5,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.8527,field,разметка подтверждена,2524014,g0309,1,
base_pair_615773feda14_00005_inside.npz,base,615773fedef645000782b7d5,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9996,field,разметка подтверждена,2193729,g0309,1,
base_pair_615773feda14_00006_inside_ss.npz,base,615773fedef645000782b7d5,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9997,same_source,разметка подтверждена,2717358,g0309,1,
base_pair_615773feda14_00007_inside.npz,base,615773fedef645000782b7d5,orto_basemap,inside,,175.7,1.06,94.5,0.755,1026,1.0,0.9997,cell_refine,разметка подтверждена,1658070,g0309,1,
base_pair_615773feda14_00008_partial.npz,base,615773fedef645000782b7d5,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8059,field,разметка подтверждена,2611495,g0309,1,
base_pair_615773feda14_00009_inside.npz,base,615773fedef645000782b7d5,orto_basemap,inside,,227.6,5.87,239.39,0.978,1596,1.0,0.9973,field,разметка подтверждена,2177874,g0309,1,
base_pair_615773feda14_00010_inside.npz,base,615773fedef645000782b7d5,orto_basemap,inside,,214.1,7.75,207.61,0.92,1330,1.0,0.9999,global,разметка подтверждена,2497734,g0309,1,
base_pair_615773feda14_00011_inside.npz,base,615773fedef645000782b7d5,orto_basemap,inside,,191.6,2.95,182.18,0.823,1528,1.0,0.9999,global,разметка подтверждена,2306527,g0309,1,
base_pair_5f2ea011191c_00000_inside.npz,base,5f2ea0110d59fe00057c3296,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,1.0,global,разметка подтверждена,2218062,g0191,1,
base_pair_5f2ea011191c_00001_partial.npz,base,5f2ea0110d59fe00057c3296,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6888,global,разметка подтверждена,1539033,g0191,1,
base_pair_5f2ea011191c_00002_partial.npz,base,5f2ea0110d59fe00057c3296,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8421,field,разметка подтверждена,2376729,g0191,1,
base_pair_5f2ea011191c_00003_inside.npz,base,5f2ea0110d59fe00057c3296,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,0.9998,field,разметка подтверждена,2405541,g0191,1,
base_pair_5f2ea011191c_00004_partial.npz,base,5f2ea0110d59fe00057c3296,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.8525,field,разметка подтверждена,2711310,g0191,1,
base_pair_5f2ea011191c_00005_inside.npz,base,5f2ea0110d59fe00057c3296,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9995,field,разметка подтверждена,2367892,g0191,1,
base_pair_5f2ea011191c_00006_inside_ss.npz,base,5f2ea0110d59fe00057c3296,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9995,same_source,разметка подтверждена,2729940,g0191,1,
base_pair_5f2ea011191c_00007_inside.npz,base,5f2ea0110d59fe00057c3296,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,0.9994,cell_refine,разметка подтверждена,1940700,g0191,1,
base_pair_5f2ea011191c_00008_partial.npz,base,5f2ea0110d59fe00057c3296,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8072,field,разметка подтверждена,2869634,g0191,1,
base_pair_5f2ea011191c_00009_inside.npz,base,5f2ea0110d59fe00057c3296,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,0.9996,field,разметка подтверждена,2572519,g0191,1,
base_pair_5f2ea011191c_00010_inside.npz,base,5f2ea0110d59fe00057c3296,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9999,global,разметка подтверждена,3031803,g0191,1,
base_pair_5f2ea011191c_00011_inside.npz,base,5f2ea0110d59fe00057c3296,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,1.0,global,разметка подтверждена,3129069,g0191,1,
base_pair_5f2c8c0582db_00000_inside.npz,base,5f2c8c050d59fe00057c327b,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,0.9965,global,разметка подтверждена,2207850,g0188,1,
base_pair_5f2c8c0582db_00001_partial.npz,base,5f2c8c050d59fe00057c327b,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6888,global,разметка подтверждена,1478957,g0188,1,
base_pair_5f2c8c0582db_00002_partial.npz,base,5f2c8c050d59fe00057c327b,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8422,cell_refine,разметка подтверждена,2309830,g0188,1,
base_pair_5f2c8c0582db_00003_inside.npz,base,5f2c8c050d59fe00057c327b,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,0.9987,cell_refine,разметка подтверждена,2371550,g0188,1,
base_pair_5f2c8c0582db_00004_partial.npz,base,5f2c8c050d59fe00057c327b,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.853,global,разметка подтверждена,2724066,g0188,1,
base_pair_5f2c8c0582db_00005_inside.npz,base,5f2c8c050d59fe00057c327b,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,1.0,global,разметка подтверждена,2390057,g0188,1,
base_pair_5f2c8c0582db_00006_inside_ss.npz,base,5f2c8c050d59fe00057c327b,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,1.0,same_source,разметка подтверждена,2805162,g0188,1,
base_pair_5f2c8c0582db_00007_inside.npz,base,5f2c8c050d59fe00057c327b,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,0.9999,global,разметка подтверждена,2014869,g0188,1,
base_pair_5f2c8c0582db_00008_partial.npz,base,5f2c8c050d59fe00057c327b,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8074,global,разметка подтверждена,2795427,g0188,1,
base_pair_5f2c8c0582db_00009_inside.npz,base,5f2c8c050d59fe00057c327b,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,0.9994,global,разметка подтверждена,2482861,g0188,1,
base_pair_5f2c8c0582db_00010_inside.npz,base,5f2c8c050d59fe00057c327b,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9905,field,разметка подтверждена,3065012,g0188,1,
base_pair_5f2c8c0582db_00011_inside.npz,base,5f2c8c050d59fe00057c327b,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,1.0,field,разметка подтверждена,3157492,g0188,1,
base_pair_60cf473b169d_00000_inside.npz,base,60cf473beade0f00079b5865,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,0.9967,global,разметка подтверждена,2571902,g0290,1,
base_pair_60cf473b169d_00001_partial.npz,base,60cf473beade0f00079b5865,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6796,global,разметка подтверждена,1563905,g0290,1,
base_pair_60cf473b169d_00002_partial.npz,base,60cf473beade0f00079b5865,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8179,cell_refine,разметка подтверждена,2502767,g0290,1,
base_pair_60cf473b169d_00003_inside.npz,base,60cf473beade0f00079b5865,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,0.9717,cell_refine,разметка подтверждена,2506441,g0290,1,
base_pair_60cf473b169d_00004_partial.npz,base,60cf473beade0f00079b5865,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.8301,global,разметка подтверждена,2842021,g0290,1,
base_pair_60cf473b169d_00005_inside.npz,base,60cf473beade0f00079b5865,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9936,global,разметка подтверждена,2419665,g0290,1,
base_pair_60cf473b169d_00006_inside_ss.npz,base,60cf473beade0f00079b5865,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9996,same_source,разметка подтверждена,2744954,g0290,1,
base_pair_60cf473b169d_00007_inside.npz,base,60cf473beade0f00079b5865,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,0.9629,global,разметка подтверждена,2220978,g0290,1,
base_pair_60cf473b169d_00008_partial.npz,base,60cf473beade0f00079b5865,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8042,global,разметка подтверждена,3039672,g0290,1,
base_pair_60cf473b169d_00009_inside.npz,base,60cf473beade0f00079b5865,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,0.981,global,разметка подтверждена,2642453,g0290,1,
base_pair_60cf473b169d_00010_inside.npz,base,60cf473beade0f00079b5865,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9359,global,разметка подтверждена,3382118,g0290,1,
base_pair_60cf473b169d_00011_inside.npz,base,60cf473beade0f00079b5865,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,0.9305,global,разметка подтверждена,3578018,g0290,1,
base_pair_6165688f16d8_00000_inside.npz,base,6165688fea4de60007d530b7,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,1.0,field,разметка подтверждена,2199159,g0311,1,
base_pair_6165688f16d8_00001_partial.npz,base,6165688fea4de60007d530b7,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6888,field,разметка подтверждена,1472233,g0311,1,
base_pair_6165688f16d8_00002_partial.npz,base,6165688fea4de60007d530b7,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8422,global,разметка подтверждена,2245913,g0311,1,
base_pair_6165688f16d8_00003_inside.npz,base,6165688fea4de60007d530b7,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,0.9999,global,разметка подтверждена,2307648,g0311,1,
base_pair_6165688f16d8_00004_partial.npz,base,6165688fea4de60007d530b7,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.8524,field,разметка подтверждена,2761068,g0311,1,
base_pair_6165688f16d8_00005_inside.npz,base,6165688fea4de60007d530b7,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9995,field,разметка подтверждена,2379271,g0311,1,
base_pair_6165688f16d8_00006_inside_ss.npz,base,6165688fea4de60007d530b7,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9998,same_source,разметка подтверждена,2668989,g0311,1,
base_pair_6165688f16d8_00007_inside.npz,base,6165688fea4de60007d530b7,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,1.0,global,разметка подтверждена,1936698,g0311,1,
base_pair_6165688f16d8_00008_partial.npz,base,6165688fea4de60007d530b7,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8059,field,разметка подтверждена,2796416,g0311,1,
base_pair_6165688f16d8_00009_inside.npz,base,6165688fea4de60007d530b7,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,0.9993,field,разметка подтверждена,2465554,g0311,1,
base_pair_6165688f16d8_00010_inside.npz,base,6165688fea4de60007d530b7,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9999,cell_refine,разметка подтверждена,2900877,g0311,1,
base_pair_6165688f16d8_00011_inside.npz,base,6165688fea4de60007d530b7,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,1.0,cell_refine,разметка подтверждена,2920969,g0311,1,
base_pair_6074339993c7_00000_inside.npz,base,60743399b09f2e0009d46bf9,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,0.9995,field,разметка подтверждена,2252139,g0263,1,
base_pair_6074339993c7_00001_partial.npz,base,60743399b09f2e0009d46bf9,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6885,field,разметка подтверждена,1547708,g0263,1,
base_pair_6074339993c7_00002_partial.npz,base,60743399b09f2e0009d46bf9,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8421,field,разметка подтверждена,2339458,g0263,1,
base_pair_6074339993c7_00003_inside.npz,base,60743399b09f2e0009d46bf9,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,0.9993,field,разметка подтверждена,2421157,g0263,1,
base_pair_6074339993c7_00004_partial.npz,base,60743399b09f2e0009d46bf9,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.853,field,разметка подтверждена,2692969,g0263,1,
base_pair_6074339993c7_00005_inside.npz,base,60743399b09f2e0009d46bf9,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9997,field,разметка подтверждена,2341961,g0263,1,
base_pair_6074339993c7_00006_inside_ss.npz,base,60743399b09f2e0009d46bf9,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9999,same_source,разметка подтверждена,2774237,g0263,1,
base_pair_6074339993c7_00007_inside.npz,base,60743399b09f2e0009d46bf9,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,0.9999,field,разметка подтверждена,1964291,g0263,1,
base_pair_6074339993c7_00008_partial.npz,base,60743399b09f2e0009d46bf9,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8071,cell_refine,разметка подтверждена,2807954,g0263,1,
base_pair_6074339993c7_00009_inside.npz,base,60743399b09f2e0009d46bf9,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,0.9942,cell_refine,разметка подтверждена,2534071,g0263,1,
base_pair_6074339993c7_00010_inside.npz,base,60743399b09f2e0009d46bf9,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9993,global,разметка подтверждена,2876456,g0263,1,
base_pair_6074339993c7_00011_inside.npz,base,60743399b09f2e0009d46bf9,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,1.0,global,разметка подтверждена,2882604,g0263,1,
base_pair_68d3f0afe6dd_00000_inside.npz,base,68d3f0af9b87c9c2af15c41d,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,1.0,field,разметка подтверждена,2141286,g0515,1,
base_pair_68d3f0afe6dd_00001_partial.npz,base,68d3f0af9b87c9c2af15c41d,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6888,field,разметка подтверждена,1524033,g0515,1,
base_pair_68d3f0afe6dd_00002_partial.npz,base,68d3f0af9b87c9c2af15c41d,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8416,field,разметка подтверждена,2289168,g0515,1,
base_pair_68d3f0afe6dd_00003_inside.npz,base,68d3f0af9b87c9c2af15c41d,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,1.0,field,разметка подтверждена,2269835,g0515,1,
base_pair_68d3f0afe6dd_00004_partial.npz,base,68d3f0af9b87c9c2af15c41d,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.853,field,разметка подтверждена,2650889,g0515,1,
base_pair_68d3f0afe6dd_00005_inside.npz,base,68d3f0af9b87c9c2af15c41d,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,1.0,field,разметка подтверждена,2298616,g0515,1,
base_pair_68d3f0afe6dd_00006_inside_ss.npz,base,68d3f0af9b87c9c2af15c41d,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,1.0,same_source,разметка подтверждена,2599663,g0515,1,
base_pair_68d3f0afe6dd_00007_inside.npz,base,68d3f0af9b87c9c2af15c41d,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,1.0,field,разметка подтверждена,1814397,g0515,1,
base_pair_68d3f0afe6dd_00008_partial.npz,base,68d3f0af9b87c9c2af15c41d,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8074,field,разметка подтверждена,2492814,g0515,1,
base_pair_68d3f0afe6dd_00009_inside.npz,base,68d3f0af9b87c9c2af15c41d,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,1.0,field,разметка подтверждена,2332233,g0515,1,
base_pair_68d3f0afe6dd_00010_inside.npz,base,68d3f0af9b87c9c2af15c41d,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,1.0,field,разметка подтверждена,2901104,g0515,1,
base_pair_68d3f0afe6dd_00011_inside.npz,base,68d3f0af9b87c9c2af15c41d,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,0.9999,field,разметка подтверждена,2990782,g0515,1,
base_pair_68cecb99d480_00000_inside.npz,base,68cecb99bba38109e3899aea,orto_basemap,inside,,193.0,4.23,341.51,0.693,1025,1.0,0.998,global,разметка подтверждена,1774809,g0514,1,
base_pair_68cecb99d480_00001_partial.npz,base,68cecb99bba38109e3899aea,orto_basemap,partial,,231.7,2.03,48.26,0.832,768,0.7425,0.7526,global,разметка подтверждена,1429831,g0514,1,
base_pair_68cecb99d480_00002_partial.npz,base,68cecb99bba38109e3899aea,orto_basemap,partial,,209.6,5.16,57.83,0.753,794,0.8489,0.842,field,разметка подтверждена,2066135,g0514,1,
base_pair_68cecb99d480_00003_inside.npz,base,68cecb99bba38109e3899aea,orto_basemap,inside,,232.4,8.53,22.45,0.834,1077,1.0,0.9999,field,разметка подтверждена,2090272,g0514,1,
base_pair_6638a73fc499_00000_inside.npz,base,6638a73f6049ef00013b83bc,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,1.0,global,проверено частично,2152122,g0439,1,
base_pair_6638a73fc499_00001_partial.npz,base,6638a73f6049ef00013b83bc,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6888,global,проверено частично,1472840,g0439,1,
base_pair_6638a73fc499_00002_partial.npz,base,6638a73f6049ef00013b83bc,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8424,global,проверено частично,2055695,g0439,1,
base_pair_6638a73fc499_00003_inside.npz,base,6638a73f6049ef00013b83bc,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,1.0,global,проверено частично,2038509,g0439,1,
base_pair_6638a73fc499_00004_partial.npz,base,6638a73f6049ef00013b83bc,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.853,field,проверено частично,2427089,g0439,1,
base_pair_6638a73fc499_00005_inside.npz,base,6638a73f6049ef00013b83bc,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,1.0,field,проверено частично,2125547,g0439,1,
base_pair_6638a73fc499_00006_inside_ss.npz,base,6638a73f6049ef00013b83bc,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,1.0,same_source,проверено частично,2247111,g0439,1,
base_pair_6638a73fc499_00007_inside.npz,base,6638a73f6049ef00013b83bc,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,1.0,global,проверено частично,1706274,g0439,1,
base_pair_6638a73fc499_00008_partial.npz,base,6638a73f6049ef00013b83bc,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8074,field,проверено частично,2336675,g0439,1,
base_pair_6638a73fc499_00009_inside.npz,base,6638a73f6049ef00013b83bc,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,1.0,field,проверено частично,2129511,g0439,1,
base_pair_6638a73fc499_00010_inside.npz,base,6638a73f6049ef00013b83bc,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,1.0,global,проверено частично,2549509,g0439,1,
base_pair_6638a73fc499_00011_inside.npz,base,6638a73f6049ef00013b83bc,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,1.0,global,проверено частично,2620561,g0439,1,
base_pair_5f2d8566237c_00000_inside.npz,base,5f2d85660d59fe00057c328b,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,0.9999,global,проверено частично,2226002,g0190,1,
base_pair_5f2d8566237c_00001_partial.npz,base,5f2d85660d59fe00057c328b,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6888,global,проверено частично,1510100,g0190,1,
base_pair_5f2d8566237c_00002_partial.npz,base,5f2d85660d59fe00057c328b,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8422,global,проверено частично,2322988,g0190,1,
base_pair_5f2d8566237c_00003_inside.npz,base,5f2d85660d59fe00057c328b,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,1.0,global,проверено частично,2394478,g0190,1,
base_pair_5f2d8566237c_00004_partial.npz,base,5f2d85660d59fe00057c328b,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.8529,global,проверено частично,2661212,g0190,1,
base_pair_5f2d8566237c_00005_inside.npz,base,5f2d85660d59fe00057c328b,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9999,global,проверено частично,2314639,g0190,1,
base_pair_5f2d8566237c_00006_inside_ss.npz,base,5f2d85660d59fe00057c328b,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9998,same_source,проверено частично,2759152,g0190,1,
base_pair_5f2d8566237c_00007_inside.npz,base,5f2d85660d59fe00057c328b,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,1.0,field,проверено частично,2000774,g0190,1,
base_pair_5f2d8566237c_00008_partial.npz,base,5f2d85660d59fe00057c328b,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8073,field,проверено частично,2846806,g0190,1,
base_pair_5f2d8566237c_00009_inside.npz,base,5f2d85660d59fe00057c328b,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,0.9999,field,проверено частично,2505706,g0190,1,
base_pair_5f2d8566237c_00010_inside.npz,base,5f2d85660d59fe00057c328b,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9997,field,проверено частично,3003344,g0190,1,
base_pair_5f2d8566237c_00011_inside.npz,base,5f2d85660d59fe00057c328b,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,0.9999,field,проверено частично,3079328,g0190,1,
base_pair_612be37215f6_00000_inside.npz,base,612be372b7012200056b5d01,orto_basemap,inside,,193.0,4.23,341.51,0.873,1291,1.0,0.9998,field,разметка подтверждена,1898682,g0306,1,
base_pair_612be37215f6_00001_partial.npz,base,612be372b7012200056b5d01,orto_basemap,partial,,231.7,2.03,48.26,1.048,798,0.6783,0.6887,field,разметка подтверждена,1494400,g0306,1,
base_pair_612be37215f6_00002_partial.npz,base,612be372b7012200056b5d01,orto_basemap,partial,,209.6,5.16,57.83,0.948,1000,0.849,0.842,field,разметка подтверждена,2173963,g0306,1,
base_pair_612be37215f6_00003_inside.npz,base,612be372b7012200056b5d01,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,0.9995,field,разметка подтверждена,2212439,g0306,1,
base_pair_612be37215f6_00004_partial.npz,base,612be372b7012200056b5d01,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.8496,field,разметка подтверждена,2398174,g0306,1,
base_pair_612be37215f6_00005_inside.npz,base,612be372b7012200056b5d01,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9965,field,разметка подтверждена,2101585,g0306,1,
base_pair_612be37215f6_00006_inside_ss.npz,base,612be372b7012200056b5d01,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,1.0,same_source,разметка подтверждена,2784128,g0306,1,
base_pair_612be37215f6_00007_inside.npz,base,612be372b7012200056b5d01,orto_basemap,inside,,175.7,1.06,94.5,0.795,1079,1.0,1.0,field,разметка подтверждена,1622665,g0306,1,
base_pair_612be37215f6_00008_partial.npz,base,612be372b7012200056b5d01,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8074,field,разметка подтверждена,2324969,g0306,1,
base_pair_612be37215f6_00009_inside.npz,base,612be372b7012200056b5d01,orto_basemap,inside,,227.6,5.87,239.39,1.029,1679,1.0,1.0,field,разметка подтверждена,2059981,g0306,1,
base_pair_68f6d330b5ae_00000_inside.npz,base,68f6d330d624af70a7ed8dec,orto_basemap,inside,,193.0,4.23,341.51,0.691,1023,1.0,0.9959,field,разметка подтверждена,1782213,g0523,1,
base_pair_68f6d330b5ae_00001_partial.npz,base,68f6d330d624af70a7ed8dec,orto_basemap,partial,,231.7,2.03,48.26,0.83,768,0.7431,0.7525,field,разметка подтверждена,1474629,g0523,1,
base_pair_68f6d330b5ae_00002_partial.npz,base,68f6d330d624af70a7ed8dec,orto_basemap,partial,,209.6,5.16,57.83,0.751,792,0.8488,0.8418,field,разметка подтверждена,2037479,g0523,1,
base_pair_68f6d330b5ae_00003_inside.npz,base,68f6d330d624af70a7ed8dec,orto_basemap,inside,,232.4,8.53,22.45,0.832,1074,1.0,0.9998,field,разметка подтверждена,2050833,g0523,1,
base_pair_68f6d330b5ae_00004_partial.npz,base,68f6d330d624af70a7ed8dec,orto_basemap,partial,,273.4,1.91,68.98,0.979,1383,0.847,0.8497,field,разметка подтверждена,2269419,g0523,1,
base_pair_68f6d330b5ae_00005_inside.npz,base,68f6d330d624af70a7ed8dec,orto_basemap,inside,,265.0,2.15,300.8,0.949,1161,1.0,0.9915,field,разметка подтверждена,2004990,g0523,1,
base_pair_68f6d330b5ae_00006_inside_ss.npz,base,68f6d330d624af70a7ed8dec,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9996,same_source,разметка подтверждена,2678712,g0523,1,
base_pair_68f6d330b5ae_00007_inside.npz,base,68f6d330d624af70a7ed8dec,orto_basemap,inside,,175.7,1.06,94.5,0.629,855,1.0,0.9988,field,разметка подтверждена,1561836,g0523,1,
base_pair_68f6d330b5ae_00008_partial.npz,base,68f6d330d624af70a7ed8dec,orto_basemap,partial,,243.0,2.43,70.67,0.87,1860,0.8048,0.8017,cell_refine,разметка подтверждена,2319401,g0523,1,
base_pair_68f6d330b5ae_00009_inside.npz,base,68f6d330d624af70a7ed8dec,orto_basemap,inside,,227.6,5.87,239.39,0.815,1330,1.0,0.9997,cell_refine,разметка подтверждена,1823649,g0523,1,
base_pair_68f6d330b5ae_00010_inside.npz,base,68f6d330d624af70a7ed8dec,orto_basemap,inside,,214.1,7.75,207.61,0.767,1108,1.0,0.9984,field,разметка подтверждена,2284810,g0523,1,
base_pair_68f6d330b5ae_00011_inside.npz,base,68f6d330d624af70a7ed8dec,orto_basemap,inside,,191.6,2.95,182.18,0.686,1273,1.0,0.9974,field,разметка подтверждена,2108924,g0523,1,
