pair,corpus,scene,pair_kind,mode,layout,season,height_m,tilt_deg,scale_ratio,covis_frac,b_px,src_split,geo_cluster,split,gt_class,gt_sigma_px,gt_sigma_src,weight,slice,modality,bytes
pair_L19_R0026_asis.npz,ortholoc,L19,frame_dop,asis,partial,,88.4,2.88,0.836,0.9214,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1964118
pair_L19_R0027_asis.npz,ortholoc,L19,frame_dop,asis,partial,,82.0,1.29,0.658,0.9336,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1875940
pair_L19_R0028_asis.npz,ortholoc,L19,frame_dop,asis,partial,,81.1,1.9,0.758,0.7292,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1698351
pair_L19_R0030_asis.npz,ortholoc,L19,frame_dop,asis,partial,,84.5,1.81,0.759,0.7803,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1812469
pair_L19_R0031_asis.npz,ortholoc,L19,frame_dop,asis,partial,,82.6,3.64,0.829,0.9957,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2176502
pair_L19_R0037_asis.npz,ortholoc,L19,frame_dop,asis,partial,,88.7,2.13,0.841,0.7319,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1746559
pair_L19_R0038_asis.npz,ortholoc,L19,frame_dop,asis,partial,,81.9,2.31,0.746,0.6842,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1588513
pair_L19_R0039_asis.npz,ortholoc,L19,frame_dop,asis,partial,,83.1,1.15,0.629,0.8478,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1987990
pair_L19_R0042_asis.npz,ortholoc,L19,frame_dop,asis,partial,,82.9,1.25,0.785,0.9115,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2035491
pair_L19_R0049_asis.npz,ortholoc,L19,frame_dop,asis,partial,,80.3,2.65,0.718,0.9842,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2194750
pair_L19_R0051_asis.npz,ortholoc,L19,frame_dop,asis,inside,,100.2,0.8,0.761,0.9991,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2679704
pair_L19_R0059_asis.npz,ortholoc,L19,frame_dop,asis,partial,,86.2,3.07,0.785,0.9883,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2028423
pair_L19_R0060_asis.npz,ortholoc,L19,frame_dop,asis,partial,,83.0,1.63,0.908,0.9985,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2107073
pair_L19_R0063_asis.npz,ortholoc,L19,frame_dop,asis,partial,,94.0,1.33,0.892,0.7644,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1570427
pair_L19_R0065_asis.npz,ortholoc,L19,frame_dop,asis,inside,,81.3,2.48,0.726,0.9995,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2262808
pair_L19_R0065_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,81.3,2.48,1.0,0.8117,1024,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,1459352
pair_L19_R0066_asis.npz,ortholoc,L19,frame_dop,asis,partial,,91.1,3.05,0.899,0.9231,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2050747
pair_L19_R0067_asis.npz,ortholoc,L19,frame_dop,asis,partial,,100.8,0.83,0.816,0.8635,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2454955
pair_L19_R0069_asis.npz,ortholoc,L19,frame_dop,asis,partial,,87.9,1.38,0.938,0.9043,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2054410
pair_L19_R0070_asis.npz,ortholoc,L19,frame_dop,asis,partial,,89.5,0.43,0.804,0.7436,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1776787
pair_L19_R0071_asis.npz,ortholoc,L19,frame_dop,asis,partial,,89.7,2.13,0.775,0.66,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1615166
pair_L19_R0072_asis.npz,ortholoc,L19,frame_dop,asis,partial,,83.3,3.17,0.875,0.4682,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1388637
pair_L19_R0073_asis.npz,ortholoc,L19,frame_dop,asis,partial,,87.2,1.64,0.846,0.6788,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1529426
pair_L19_R0078_asis.npz,ortholoc,L19,frame_dop,asis,partial,,86.1,0.68,0.923,0.4803,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1286678
pair_L19_R0079_asis.npz,ortholoc,L19,frame_dop,asis,partial,,88.5,2.16,0.712,0.8456,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1879909
pair_L19_R0084_asis.npz,ortholoc,L19,frame_dop,asis,partial,,90.6,1.15,0.826,0.6727,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1475328
pair_L19_R0085_asis.npz,ortholoc,L19,frame_dop,asis,partial,,81.5,3.31,0.697,0.9927,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2081461
pair_L19_R0088_asis.npz,ortholoc,L19,frame_dop,asis,partial,,90.3,1.86,0.956,0.9985,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2163021
pair_L19_R0089_asis.npz,ortholoc,L19,frame_dop,asis,partial,,89.9,2.07,0.911,0.7385,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1638428
pair_L19_R0090_asis.npz,ortholoc,L19,frame_dop,asis,partial,,83.9,1.83,0.867,0.6357,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1507806
pair_L19_R0095_asis.npz,ortholoc,L19,frame_dop,asis,partial,,91.6,0.82,0.82,0.6784,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1453972
pair_L19_R0096_asis.npz,ortholoc,L19,frame_dop,asis,partial,,82.7,1.02,0.911,0.7132,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1713250
pair_L19_R0097_asis.npz,ortholoc,L19,frame_dop,asis,partial,,80.9,2.88,0.686,0.9824,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2018813
pair_L19_R0099_asis.npz,ortholoc,L19,frame_dop,asis,partial,,84.3,2.8,0.779,0.9063,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2034308
pair_L19_R0100_asis.npz,ortholoc,L19,frame_dop,asis,partial,,90.3,3.46,0.821,0.7727,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1794244
pair_L19_R0100_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,90.3,3.46,1.0,0.8956,1024,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,1280153
pair_L19_R0105_asis.npz,ortholoc,L19,frame_dop,asis,partial,,83.0,2.27,0.726,0.9937,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2236091
pair_L19_R0115_asis.npz,ortholoc,L19,frame_dop,asis,partial,,85.6,1.91,0.875,0.7406,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1709844
pair_L19_R0116_asis.npz,ortholoc,L19,frame_dop,asis,partial,,79.8,2.28,0.745,0.8969,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2174547
pair_L19_R0118_asis.npz,ortholoc,L19,frame_dop,asis,partial,,83.5,2.35,0.824,0.9385,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2045702
pair_L19_R0118_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,83.5,2.35,1.0,0.8041,896,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,1207140
pair_L19_R0119_asis.npz,ortholoc,L19,frame_dop,asis,partial,,85.8,0.56,0.92,0.998,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2233328
pair_L19_R0120_asis.npz,ortholoc,L19,frame_dop,asis,partial,,83.6,2.0,0.821,0.9911,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2088536
pair_L19_R0123_asis.npz,ortholoc,L19,frame_dop,asis,partial,,87.9,1.75,0.846,0.9255,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1965241
pair_L19_R0123_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,87.9,1.75,1.0,0.7847,768,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,1044197
pair_L19_R0126_asis.npz,ortholoc,L19,frame_dop,asis,partial,,83.8,2.42,0.749,0.9685,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2151964
pair_L19_R0127_asis.npz,ortholoc,L19,frame_dop,asis,inside,,83.8,1.4,0.729,0.9993,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2139793
pair_L19_R0127_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,83.8,1.4,1.0,0.8863,896,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,1097683
pair_L19_R0128_asis.npz,ortholoc,L19,frame_dop,asis,partial,,80.4,0.84,0.689,0.9459,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2090320
pair_L19_R0129_asis.npz,ortholoc,L19,frame_dop,asis,partial,,91.3,3.81,0.798,0.937,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1851125
pair_L19_R0136_asis.npz,ortholoc,L19,frame_dop,asis,partial,,89.9,1.31,0.83,0.998,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2122663
pair_L19_R0137_asis.npz,ortholoc,L19,frame_dop,asis,inside,,88.3,2.32,0.874,0.9998,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2155563
pair_L19_R0137_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,88.3,2.32,1.0,0.9581,1024,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,1442170
pair_L19_R0138_asis.npz,ortholoc,L19,frame_dop,asis,partial,,81.5,2.55,0.704,0.9008,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1945588
pair_L19_R0139_asis.npz,ortholoc,L19,frame_dop,asis,partial,,81.8,3.52,0.778,0.9628,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2064235
pair_L19_R0139_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,81.8,3.52,1.0,0.7108,768,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,1112126
pair_L19_R0142_asis.npz,ortholoc,L19,frame_dop,asis,inside,,88.2,2.01,0.822,0.9998,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2172455
pair_L19_R0147_asis.npz,ortholoc,L19,frame_dop,asis,partial,,81.0,1.63,0.688,0.9894,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2139962
pair_L19_R0149_asis.npz,ortholoc,L19,frame_dop,asis,partial,,82.6,3.34,0.79,0.9954,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2117622
pair_L19_R0150_asis.npz,ortholoc,L19,frame_dop,asis,partial,,88.2,1.16,0.813,0.5201,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1318329
pair_L19_R0151_asis.npz,ortholoc,L19,frame_dop,asis,partial,,100.0,0.79,0.807,0.9989,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2768942
pair_L19_R0151_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,100.0,0.79,1.0,0.5499,768,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,1002731
pair_L19_R0152_asis.npz,ortholoc,L19,frame_dop,asis,partial,,88.7,2.41,0.897,0.5386,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1383970
pair_L19_R0153_asis.npz,ortholoc,L19,frame_dop,asis,partial,,87.9,1.11,0.849,0.9986,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2131586
pair_L19_R0154_asis.npz,ortholoc,L19,frame_dop,asis,partial,,81.5,2.17,0.686,0.8279,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2097332
pair_L19_R0156_asis.npz,ortholoc,L19,frame_dop,asis,partial,,88.6,2.08,0.711,0.7439,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1620374
pair_L19_R0157_asis.npz,ortholoc,L19,frame_dop,asis,partial,,89.2,2.62,0.812,0.834,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1681890
pair_L19_R0158_asis.npz,ortholoc,L19,frame_dop,asis,partial,,89.6,0.91,0.8,0.8097,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1724651
pair_L19_R0159_asis.npz,ortholoc,L19,frame_dop,asis,partial,,82.8,3.51,0.868,0.853,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1977447
pair_L19_R0160_asis.npz,ortholoc,L19,frame_dop,asis,partial,,86.8,2.51,0.744,0.791,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1908498
pair_L19_R0160_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,86.8,2.51,1.0,0.7889,1024,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,1375310
pair_L19_R0162_asis.npz,ortholoc,L19,frame_dop,asis,partial,,83.4,1.24,0.731,0.6578,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1512164
pair_L19_R0163_asis.npz,ortholoc,L19,frame_dop,asis,partial,,83.7,2.65,0.63,0.7029,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1749232
pair_L19_R0166_asis.npz,ortholoc,L19,frame_dop,asis,partial,,89.8,1.64,0.827,0.6671,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1515430
pair_L19_R0169_asis.npz,ortholoc,L19,frame_dop,asis,partial,,85.8,0.39,0.819,0.9828,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2238113
pair_L19_R0169_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,85.8,0.39,1.0,0.8256,768,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,1149774
pair_L19_R0172_asis.npz,ortholoc,L19,frame_dop,asis,inside,,81.8,0.23,0.791,0.9992,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2149631
pair_L19_R0178_asis.npz,ortholoc,L19,frame_dop,asis,partial,,99.5,0.96,0.737,0.9977,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2634020
pair_L19_R0181_asis.npz,ortholoc,L19,frame_dop,asis,partial,,86.0,3.36,0.878,0.7801,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1723592
pair_L19_R0182_asis.npz,ortholoc,L19,frame_dop,asis,inside,,88.5,2.16,0.825,0.999,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2060959
pair_L19_R0183_asis.npz,ortholoc,L19,frame_dop,asis,partial,,84.7,2.47,0.838,0.9907,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2098619
pair_L19_R0184_asis.npz,ortholoc,L19,frame_dop,asis,partial,,88.8,1.93,0.759,0.9726,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1925242
pair_L19_R0187_asis.npz,ortholoc,L19,frame_dop,asis,partial,,81.2,0.31,0.855,0.9784,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2053166
pair_L19_R0188_asis.npz,ortholoc,L19,frame_dop,asis,partial,,80.4,2.54,0.704,0.9975,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2224616
pair_L19_R0190_asis.npz,ortholoc,L19,frame_dop,asis,partial,,81.4,1.49,0.813,0.7102,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1662259
pair_L19_R0191_asis.npz,ortholoc,L19,frame_dop,asis,partial,,85.4,2.54,0.795,0.9939,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2114654
pair_L19_R0197_asis.npz,ortholoc,L19,frame_dop,asis,partial,,82.5,3.03,0.774,0.9981,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2212587
pair_L19_R0208_asis.npz,ortholoc,L19,frame_dop,asis,partial,,90.2,0.5,0.77,0.9012,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1959232
pair_L19_R0211_asis.npz,ortholoc,L19,frame_dop,asis,partial,,82.4,0.72,0.908,0.6331,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1586352
pair_L19_R0211_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,82.4,0.72,1.0,0.7213,768,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,1169732
pair_L19_R0212_asis.npz,ortholoc,L19,frame_dop,asis,partial,,82.9,1.8,0.893,0.7678,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1902069
pair_L19_R0215_asis.npz,ortholoc,L19,frame_dop,asis,partial,,83.2,1.39,0.925,0.8324,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1902899
pair_L19_R0217_asis.npz,ortholoc,L19,frame_dop,asis,partial,,81.3,2.01,0.754,0.9694,768,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2181522
pair_L19_R0218_asis.npz,ortholoc,L19,frame_dop,asis,partial,,83.0,1.39,0.749,0.9945,1024,train,c_L19,train,registered,0.97,оценка,1.00,,photo,2122779
pair_L19_R0219_asis.npz,ortholoc,L19,frame_dop,asis,partial,,89.3,1.76,0.847,0.4551,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1331630
pair_L19_R0221_asis.npz,ortholoc,L19,frame_dop,asis,partial,,90.0,0.54,0.75,0.7012,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1578022
pair_L19_R0222_asis.npz,ortholoc,L19,frame_dop,asis,partial,,91.7,4.04,0.963,0.8981,896,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1850244
pair_L19_R0225_asis.npz,ortholoc,L19,frame_dop,asis,partial,,85.7,0.43,0.806,0.7202,640,train,c_L19,train,registered,0.97,оценка,1.00,,photo,1724329
pair_L19_R0225_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,85.7,0.43,1.0,0.6373,640,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,862056
pair_L19_xDOP0000_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,78.9,3.38,0.811,0.8763,768,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1990777
pair_L19_xDOP0002_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,81.7,2.35,0.686,0.9891,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2043693
pair_L19_xDOP0005_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,90.0,1.06,0.91,0.8247,768,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1791748
pair_L19_xDOP0006_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,84.0,2.14,0.739,0.5414,640,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1399985
pair_L19_xDOP0007_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,81.0,2.15,0.727,0.8234,768,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1769128
pair_L19_xDOP0010_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,89.5,2.13,0.764,0.8592,768,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1809570
pair_L19_xDOP0010_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,89.5,2.13,1.0,0.9407,1024,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,1172261
pair_L19_xDOP0011_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,87.4,2.32,0.706,0.965,768,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1979444
pair_L19_xDOP0011_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,87.4,2.32,1.0,0.3187,640,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,648932
pair_L19_xDOP0012_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,87.2,2.32,0.809,0.9982,1024,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2042000
pair_L19_xDOP0013_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,89.3,2.12,0.822,0.8891,768,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1900897
pair_L19_xDOP0014_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,83.4,1.92,0.774,0.8744,768,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1952962
pair_L19_xDOP0014_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,83.4,1.92,1.0,0.461,640,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,632667
pair_L19_xDOP0015_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,87.4,1.87,0.903,0.633,640,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1523980
pair_L19_xDOP0018_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,89.3,2.13,0.82,0.9903,1024,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2043103
pair_L19_xDOP0018_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,89.3,2.13,1.0,0.5187,640,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,760811
pair_L19_xDOP0019_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,89.7,1.3,0.854,0.5097,640,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1343452
pair_L19_xDOP0020_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,83.8,3.76,0.863,0.9963,1024,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2026545
pair_L19_xDOP0022_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,83.4,1.22,0.756,0.7136,640,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1617758
pair_L19_xDOP0024_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,89.5,2.11,0.801,0.9856,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2035992
pair_L19_xDOP0025_asis.npz,ortholoc,L19,frame_xdop,asis,inside,,82.0,2.61,0.654,0.9997,1024,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2082364
pair_L19_xDOP0027_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,82.0,1.29,0.658,0.9983,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1949871
pair_L19_xDOP0027_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,82.0,1.29,1.0,0.7637,768,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,834855
pair_L19_xDOP0028_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,81.1,1.9,0.758,0.8943,768,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1838183
pair_L19_xDOP0029_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,88.0,1.64,0.902,0.945,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1926260
pair_L19_xDOP0030_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,84.5,1.81,0.759,0.9862,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1982726
pair_L19_xDOP0030_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,84.5,1.81,1.0,0.5919,640,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,679451
pair_L19_xDOP0034_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,91.8,1.92,0.748,0.8834,1024,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1772190
pair_L19_xDOP0034_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,91.8,1.92,1.0,0.7759,768,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,831568
pair_L19_xDOP0035_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,82.0,1.63,0.878,0.9754,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2096804
pair_L19_xDOP0037_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,88.7,2.13,0.841,0.9867,1024,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2104488
pair_L19_xDOP0039_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,83.1,1.15,0.629,0.6702,640,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1516555
pair_L19_xDOP0041_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,81.9,3.43,0.749,0.9675,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1973588
pair_L19_xDOP0042_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,82.9,1.25,0.785,0.9936,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2055240
pair_L19_xDOP0045_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,86.0,3.0,0.866,0.9877,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1994557
pair_L19_xDOP0046_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,88.7,3.58,0.838,0.576,640,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1448056
pair_L19_xDOP0049_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,80.3,2.65,0.718,0.9965,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2016195
pair_L19_xDOP0052_asis.npz,ortholoc,L19,frame_xdop,asis,inside,,91.9,2.67,0.827,0.9998,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1928117
pair_L19_xDOP0054_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,90.1,1.06,0.843,0.9267,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1934272
pair_L19_xDOP0055_asis.npz,ortholoc,L19,frame_xdop,asis,inside,,80.3,2.52,0.712,0.9997,1024,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2053561
pair_L19_xDOP0055_rect.npz,ortholoc,L19,rect_ortho,rect,partial,,80.3,2.52,1.0,0.631,768,train,c_L19,train,exact,0.1,аналитическая,0.50,,photo,923312
pair_L19_xDOP0058_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,100.3,0.84,0.816,0.5803,640,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1648254
pair_L19_xDOP0061_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,89.3,1.61,0.817,0.9608,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2049053
pair_L19_xDOP0063_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,94.0,1.33,0.892,0.7915,768,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1636227
pair_L19_xDOP0066_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,91.1,3.05,0.899,0.5798,640,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1466405
pair_L19_xDOP0067_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,100.8,0.83,0.816,0.9927,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2533219
pair_L19_xDOP0069_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,87.9,1.38,0.938,0.9061,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1946352
pair_L19_xDOP0070_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,89.5,0.43,0.804,0.7908,640,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1733406
pair_L19_xDOP0071_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,89.7,2.13,0.775,0.5379,640,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1267631
pair_L19_xDOP0074_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,89.5,1.02,0.786,0.6227,640,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1349323
pair_L19_xDOP0075_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,80.8,2.3,0.711,0.6325,640,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1454288
pair_L19_xDOP0078_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,86.1,0.68,0.923,0.8241,768,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1855754
pair_L19_xDOP0080_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,82.0,0.66,0.664,0.9933,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,2038790
pair_L19_xDOP0081_asis.npz,ortholoc,L19,frame_xdop,asis,partial,,82.3,3.61,0.796,0.9303,896,train,c_L19,train,registered,1.51,измерено,1.00,,photo,1941769
